prompt_file,chunk_id,word_count,first_date,first_heading
Prompt_0001_Journal_12_31_22_to_3_17_24_0001.txt,Journal_12_31_22_to_3_17_24_0001,5939,"December 31, 2022 at 10:12:32 AM CST",What made Jesus divine?
Prompt_0002_Journal_12_31_22_to_3_17_24_0002.txt,Journal_12_31_22_to_3_17_24_0002,689,"March 12, 2023 at 3:51:10 AM CDT",Motion journal
Prompt_0003_Journal_12_31_22_to_3_17_24_0003.txt,Journal_12_31_22_to_3_17_24_0003,13535,"March 13, 2023",Digital Regression
Prompt_0004_Journal_12_31_22_to_3_17_24_0004.txt,Journal_12_31_22_to_3_17_24_0004,699,"March 17, 2024 at 6:48:53 AM CDT",
